article,rank,timestamp,total.total,month,timeRange.start,timeRange.end
Eva_Pavlová,83,1675209600000,18420,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Švýcarsko,84,1675209600000,18411,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
ChatGPT,85,1675209600000,18335,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Karel_Čapek,86,1675209600000,18316,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Polsko,87,1675209600000,18214,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Alžběta_I.,88,1675209600000,18196,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Vesna_(hudební_skupina),89,1675209600000,18055,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Božena_Němcová,90,1675209600000,17928,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Klement_Gottwald,91,1675209600000,17889,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Prezident_České_republiky,92,1675209600000,17886,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Ernest_Hemingway,93,1675209600000,17885,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Petr_Švancara,94,1675209600000,17628,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Veronika_Žilková,95,1675209600000,17621,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Alžběta_II.,96,1675209600000,17545,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Docent_(seriál),97,1675209600000,17507,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Česká_Wikipedie,98,1675209600000,17489,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Stephen_Hawking,99,1675209600000,17251,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Jeffrey_Dahmer,100,1675209600000,17078,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Pamela_Anderson,101,1675209600000,16988,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Anna_Boleynová,102,1675209600000,16949,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Cristiano_Ronaldo,103,1675209600000,16936,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Izrael,104,1675209600000,16733,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Mezinárodní_dny_a_roky,105,1675209600000,16683,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Vladimir_Putin,106,1675209600000,16582,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Tünde_Bartha,107,1675209600000,16468,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Československo,108,1675209600000,16339,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Jan_Amos_Komenský,109,1675209600000,16234,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Kristýna_Ryška,110,1675209600000,16151,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
Kanada,111,1675209600000,16111,2023-02-01T00:00:00.000Z,2023-02-01T00:00:00.000Z,2023-03-01T00:00:00.000Z
